,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,sot%,g/sh,g/sot,dist,pk,pkatt,g-xg,np:g-xg,sca,gca,att 3rd,att pen,att,succ,succ%,prgc,1/3,cpa,year,team
12,2024-06-18,21:00,UEFA Euro,Group stage,Tue,Neutral,L,1,2,pt Portugal,0.4,1.9,27.0,38421.0,Tomáš Souček,3-1-4-2,Marco Guida,Match Report,,5.0,1.0,20.0,0.2,1.0,18.9,0,0,0.6,0.6,9.0,2.0,79.0,8.0,11.0,4.0,36.4,13.0,8.0,4.0,2024,Czechia
13,2024-06-22,15:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,ge Georgia,3.0,1.1,62.0,46524.0,Tomáš Souček,3-4-3,Daniel Siebert,Match Report,,27.0,12.0,44.4,0.04,0.08,16.6,0,0,-2.0,-2.0,43.0,1.0,266.0,27.0,17.0,3.0,17.6,24.0,14.0,2.0,2024,Czechia
14,2024-06-26,21:00,UEFA Euro,Group stage,Wed,Neutral,L,1,2,tr Türkiye,1.6,1.4,33.0,47683.0,Tomáš Souček,3-4-3,István Kovács,Match Report,,12.0,6.0,50.0,0.08,0.17,15.1,0,0,-0.6,-0.6,20.0,1.0,88.0,25.0,20.0,7.0,35.0,7.0,5.0,0.0,2024,Czechia
0,2019-03-22,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,2,0,al Albania,,,46.0,11730.0,Emre Belözoğlu,3-4-1-2,Tobias Stieler,Match Report,,3.0,2.0,66.7,0.67,1.0,,0,0,,,,,,,,,,,,,2021,Turkiye
1,2019-03-25,20:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,4,0,md Moldova,,,59.0,29456.0,Burak Yılmaz,4-1-4-1,Serhiy Boiko,Match Report,,19.0,10.0,52.6,0.21,0.4,,0,1,,,,,,,,,,,,,2021,Turkiye
2,2019-06-08,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,fr France,,,37.0,36783.0,Burak Yılmaz,4-2-3-1,Damir Skomina,Match Report,,11.0,6.0,54.5,0.18,0.33,,0,0,,,,,,,,,,,,,2021,Turkiye
3,2019-06-11,18:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1,2,is Iceland,,,67.0,9680.0,Burak Yılmaz,4-2-3-1,Szymon Marciniak,Match Report,,10.0,3.0,30.0,0.1,0.33,,0,0,,,,,,,,,,,,,2021,Turkiye
4,2019-09-07,21:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,1,0,ad Andorra,,,84.0,42600.0,Emre Belözoğlu,4-2-3-1,Donald Robertson,Match Report,,27.0,9.0,33.3,0.04,0.11,,0,0,,,,,,,,,,,,,2021,Turkiye
5,2019-09-10,21:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,4,0,md Moldova,,,75.0,8281.0,Cenk Tosun,4-2-3-1,Davide Massa,Match Report,,18.0,7.0,38.9,0.22,0.57,,0,0,,,,,,,,,,,,,2021,Turkiye
6,2019-10-11,21:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1,0,al Albania,,,59.0,41438.0,Emre Belözoğlu,4-3-3,Ovidiu Hațegan,Match Report,,15.0,6.0,40.0,0.07,0.17,,0,0,,,,,,,,,,,,,2021,Turkiye
7,2019-10-14,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,fr France,,,36.0,72154.0,Burak Yılmaz,4-1-4-1,Felix Brych,Match Report,,5.0,1.0,20.0,0.2,1.0,,0,0,,,,,,,,,,,,,2021,Turkiye
8,2019-11-14,20:00,UEFA Euro Qualifying,Group stage,Thu,Home,D,0,0,is Iceland,,,63.0,48329.0,Burak Yılmaz,4-3-3,Anthony Taylor,Match Report,,12.0,3.0,25.0,0.0,0.0,,0,0,,,,,,,,,,,,,2021,Turkiye
9,2019-11-17,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,0,ad Andorra,,,81.0,2357.0,Hakan Çalhanoğlu,3-5-2,Ivan Kružliak,Match Report,,14.0,4.0,28.6,0.07,0.25,,1,1,,,,,,,,,,,,,2021,Turkiye
10,2021-05-27,20:00,Friendlies (M),Friendlies (M),Thu,Home,W,2,1,az Azerbaijan,,,,,Kaan Ayhan,4-2-2-2,Genc Nuza,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Turkiye
11,2021-05-31,20:00,Friendlies (M),Friendlies (M),Mon,Home,D,0,0,gn Guinea,,,,,Kaan Ayhan,4-1-4-1,Əliyar Ağayev,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Turkiye
12,2021-06-03,20:00,Friendlies (M),Friendlies (M),Thu,Home,W,2,0,md Moldova,,,,,Burak Yılmaz,4-1-4-1,Sascha Stegemann,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Turkiye
13,2021-06-11,21:00,UEFA Euro,Group stage,Fri,Neutral,L,0,3,it Italy,0.6,1.9,36.0,12916.0,Burak Yılmaz,4-1-4-1,Danny Makkelie,Match Report,,3.0,0.0,0.0,0.0,,13.8,0,0,-0.6,-0.6,4.0,0.0,48.0,8.0,8.0,6.0,75.0,4.0,10.0,4.0,2021,Turkiye
14,2021-06-16,20:00,UEFA Euro,Group stage,Wed,Neutral,L,0,2,wls Wales,1.2,3.5,62.0,19762.0,Burak Yılmaz,4-1-4-1,Artur Soares Dias,Match Report,,18.0,5.0,27.8,0.0,0.0,16.2,0,0,-1.2,-1.2,33.0,0.0,172.0,33.0,8.0,5.0,62.5,20.0,14.0,2.0,2021,Turkiye
15,2021-06-20,20:00,UEFA Euro,Group stage,Sun,Neutral,L,1,3,ch Switzerland,1.2,2.1,49.0,17138.0,Burak Yılmaz,4-1-4-1,Slavko Vinčič,Match Report,,19.0,6.0,31.6,0.05,0.17,22.0,0,0,-0.2,-0.2,38.0,2.0,147.0,16.0,17.0,10.0,58.8,16.0,15.0,3.0,2021,Turkiye
0,2019-03-23,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,fi Finland,,,58.0,24000.0,Giorgio Chiellini,4-3-3,Orel Grinfeeld,Match Report,,11.0,3.0,27.3,0.18,0.67,,0,0,,,,,,,,,,,,,2021,Italy
1,2019-03-26,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,6,0,li Liechtenstein,,,78.0,19834.0,Leonardo Bonucci,4-3-3,Kirill Levnikov,Match Report,,41.0,12.0,29.3,0.1,0.33,,2,2,,,,,,,,,,,,,2021,Italy
2,2019-06-08,21:45,UEFA Euro Qualifying,Group stage,Sat,Away,W,3,0,gr Greece,,,70.0,19828.0,Giorgio Chiellini,4-3-3,Anthony Taylor,Match Report,,16.0,10.0,62.5,0.19,0.3,,0,0,,,,,,,,,,,,,2021,Italy
3,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,1,ba Bosnia & Herz'na,,,65.0,29100.0,Giorgio Chiellini,4-3-3,Javier Estrada,Match Report,,17.0,8.0,47.1,0.12,0.25,,0,0,,,,,,,,,,,,,2021,Italy
4,2019-09-05,20:00,UEFA Euro Qualifying,Group stage,Thu,Away,W,3,1,am Armenia,,,74.0,13680.0,Leonardo Bonucci,4-3-3,Daniel Siebert,Match Report,,18.0,7.0,38.9,0.17,0.43,,0,0,,,,,,,,,,,,,2021,Italy
5,2019-09-08,21:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2,1,fi Finland,,,60.0,16292.0,Leonardo Bonucci,4-3-3,Bobby Madden,Match Report,,25.0,9.0,36.0,0.04,0.11,,1,1,,,,,,,,,,,,,2021,Italy
6,2019-10-12,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,gr Greece,,,71.0,56274.0,Leonardo Bonucci,4-3-3,Sergey Karasev,Match Report,,20.0,4.0,20.0,0.05,0.25,,1,1,,,,,,,,,,,,,2021,Italy
7,2019-10-15,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,5,0,li Liechtenstein,,,80.0,5087.0,Marco Verratti,4-3-3,Andris Treimanis,Match Report,,25.0,11.0,44.0,0.2,0.45,,0,0,,,,,,,,,,,,,2021,Italy
8,2019-11-15,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3,0,ba Bosnia & Herz'na,,,55.0,8355.0,Leonardo Bonucci,4-3-3,Sandro Schärer,Match Report,,12.0,7.0,58.3,0.25,0.43,,0,0,,,,,,,,,,,,,2021,Italy
9,2019-11-18,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,9,1,am Armenia,,,71.0,27752.0,Leonardo Bonucci,4-3-3,Tiago Martins,Match Report,,24.0,12.0,50.0,0.33,0.67,,1,1,,,,,,,,,,,,,2021,Italy
10,2021-05-28,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,7,0,sm San Marino,,,,,Federico Bernardeschi,4-1-4-1,Trustin Farrugia Cann,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Italy
11,2021-06-04,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,4,0,cz Czechia,,,,,Giorgio Chiellini,4-1-4-1,Lionel Tschudi,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Italy
12,2021-06-11,21:00,UEFA Euro,Group stage,Fri,Neutral,W,3,0,tr Türkiye,1.9,0.6,64.0,12916.0,Giorgio Chiellini,4-3-3,Danny Makkelie,Match Report,,24.0,8.0,33.3,0.08,0.25,18.4,0,0,0.1,0.1,40.0,3.0,261.0,30.0,15.0,10.0,66.7,24.0,17.0,4.0,2021,Italy
13,2021-06-16,21:00,UEFA Euro,Group stage,Wed,Neutral,W,3,0,ch Switzerland,2.7,0.2,49.0,12445.0,Giorgio Chiellini,4-3-3,Sergey Karasev,Match Report,,13.0,3.0,23.1,0.23,1.0,17.5,0,0,0.3,0.3,23.0,5.0,146.0,24.0,11.0,4.0,36.4,25.0,14.0,10.0,2021,Italy
14,2021-06-20,18:00,UEFA Euro,Group stage,Sun,Neutral,W,1,0,wls Wales,2.0,0.4,69.0,11541.0,Leonardo Bonucci,4-3-3,Ovidiu Hațegan,Match Report,,23.0,6.0,26.1,0.04,0.17,17.6,0,0,-1.0,-1.0,42.0,2.0,192.0,31.0,14.0,10.0,71.4,19.0,22.0,7.0,2021,Italy
15,2021-06-26,20:00,UEFA Euro,Round of 16,Sat,Neutral,W,2,1,at Austria,1.9,0.8,51.0,18910.0,Leonardo Bonucci,4-3-3,Anthony Taylor,Match Report,Required Extra Time,27.0,6.0,22.2,0.07,0.33,18.8,0,0,0.1,0.1,50.0,4.0,257.0,39.0,34.0,16.0,47.1,34.0,31.0,12.0,2021,Italy
16,2021-07-02,21:00,UEFA Euro,Quarter-finals,Fri,Away,W,2,1,be Belgium,1.7,1.8,54.0,12984.0,Giorgio Chiellini,4-3-3,Slavko Vinčič,Match Report,,14.0,3.0,21.4,0.14,0.67,17.2,0,0,0.3,0.3,28.0,4.0,230.0,28.0,13.0,5.0,38.5,22.0,24.0,9.0,2021,Italy
17,2021-07-06,20:00,UEFA Euro,Semi-finals,Tue,Home,D,1 (4),1 (2),es Spain,0.8,1.5,31.0,57811.0,Giorgio Chiellini,4-3-3,Felix Brych,Match Report,Italy won on penalty kicks following extra time,7.0,4.0,57.1,0.14,0.25,15.8,0,0,0.2,0.2,11.0,1.0,90.0,10.0,8.0,2.0,25.0,9.0,8.0,4.0,2021,Italy
18,2021-07-11,20:00,UEFA Euro,Final,Sun,Neutral,D,1 (3),1 (2),eng England,2.2,0.6,65.0,67173.0,Giorgio Chiellini,4-3-3,Björn Kuipers,Match Report,Italy won on penalty kicks following extra time,19.0,6.0,31.6,0.05,0.17,18.9,0,0,-1.2,-1.2,31.0,1.0,237.0,25.0,24.0,16.0,66.7,22.0,33.0,8.0,2021,Italy
0,2019-03-24,14:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,1,0,sk Slovakia,,,42.0,31617.0,Gareth Bale,4-2-3-1,Felix Zwayer,Match Report,,14.0,4.0,28.6,0.07,0.25,,0,0,,,,,,,,,,,,,2021,Wales
1,2019-06-08,15:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,1,2,hr Croatia,,,37.0,17061.0,Gareth Bale,4-2-3-1,István Kovács,Match Report,,10.0,6.0,60.0,0.1,0.17,,0,0,,,,,,,,,,,,,2021,Wales
2,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,0,1,hu Hungary,,,46.0,18350.0,Ashley Williams,4-2-3-1,Matej Jug,Match Report,,8.0,4.0,50.0,0.0,0.0,,0,0,,,,,,,,,,,,,2021,Wales
3,2019-09-06,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2,1,az Azerbaijan,,,64.0,28385.0,Gareth Bale,4-2-3-1,Trustin Farrugia Cann,Match Report,,15.0,3.0,20.0,0.07,0.33,,0,0,,,,,,,,,,,,,2021,Wales
4,2019-10-10,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1,1,sk Slovakia,,,30.0,18071.0,Gareth Bale,4-2-3-1,Carlos del Cerro,Match Report,,15.0,6.0,40.0,0.07,0.17,,0,0,,,,,,,,,,,,,2021,Wales
5,2019-10-13,19:45,UEFA Euro Qualifying,Group stage,Sun,Home,D,1,1,hr Croatia,,,36.0,31745.0,Gareth Bale,4-1-4-1,Björn Kuipers,Match Report,,6.0,3.0,50.0,0.17,0.33,,0,0,,,,,,,,,,,,,2021,Wales
6,2019-11-16,21:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,az Azerbaijan,,,53.0,8622.0,Gareth Bale,4-2-3-1,Deniz Aytekin,Match Report,,20.0,9.0,45.0,0.1,0.22,,0,0,,,,,,,,,,,,,2021,Wales
7,2019-11-19,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,0,hu Hungary,,,41.0,31762.0,Gareth Bale,4-2-3-1,Ovidiu Hațegan,Match Report,,16.0,5.0,31.3,0.13,0.4,,0,0,,,,,,,,,,,,,2021,Wales
8,2021-03-27,20:00,Friendlies (M),Friendlies (M),Sat,Home,W,1,0,mx Mexico,,,,,Chris Gunter,,Ian McNabb,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Wales
9,2021-06-02,21:05,Friendlies (M),Friendlies (M),Wed,Away,L,0,3,fr France,,,,,Gareth Bale,4-2-2-2,Luís Godinho,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Wales
10,2021-06-05,17:00,Friendlies (M),Friendlies (M),Sat,Home,D,0,0,al Albania,,,,,Ben Davies,4-2-2-2,Neil Doyle,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Wales
11,2021-06-12,17:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,ch Switzerland,0.4,2.1,36.0,8782.0,Gareth Bale,4-1-4-1,Clément Turpin,Match Report,,9.0,2.0,22.2,0.11,0.5,16.5,0,0,0.6,0.6,14.0,2.0,87.0,11.0,5.0,2.0,40.0,13.0,9.0,1.0,2021,Wales
12,2021-06-16,20:00,UEFA Euro,Group stage,Wed,Neutral,W,2,0,tr Türkiye,3.5,1.2,38.0,19762.0,Gareth Bale,4-1-4-1,Artur Soares Dias,Match Report,,15.0,7.0,46.7,0.13,0.29,12.9,0,1,-1.5,-0.7,31.0,4.0,117.0,28.0,15.0,11.0,73.3,20.0,10.0,8.0,2021,Wales
13,2021-06-20,18:00,UEFA Euro,Group stage,Sun,Neutral,L,0,1,it Italy,0.4,2.0,31.0,11541.0,Gareth Bale,3-4-3,Ovidiu Hațegan,Match Report,,3.0,1.0,33.3,0.0,0.0,11.1,0,0,-0.4,-0.4,6.0,0.0,59.0,10.0,4.0,2.0,50.0,4.0,5.0,0.0,2021,Wales
14,2021-06-26,18:00,UEFA Euro,Round of 16,Sat,Neutral,L,0,4,dk Denmark,0.6,2.7,47.0,14645.0,Gareth Bale,4-2-3-1,Daniel Siebert,Match Report,,11.0,1.0,9.1,0.0,0.0,19.0,0,0,-0.6,-0.6,20.0,0.0,111.0,14.0,6.0,3.0,50.0,17.0,15.0,2.0,2021,Wales
15,2021-09-01,19:00,Friendlies (M),Friendlies (M),Wed,Away,D,0,0,fi Finland,,,,,Danny Ward,3-5-2,Kristo Tohver,Match Report,,,,,,,,0,1,,,,,,,,,,,,,2021,Wales
0,2019-03-23,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,W,2,0,ge Georgia,,,64.0,49207.0,Stephan Lichtsteiner,4-4-1-1,Craig Pawson,Match Report,,25.0,8.0,32.0,0.08,0.25,,0,0,,,,,,,,,,,,,2021,Switzerland
1,2019-03-26,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,D,3,3,dk Denmark,,,55.0,18352.0,Granit Xhaka,4-3-3,Damir Skomina,Match Report,,11.0,3.0,27.3,0.27,1.0,,0,0,,,,,,,,,,,,,2021,Switzerland
2,2019-09-05,19:45,UEFA Euro Qualifying,Group stage,Thu,Away,D,1,1,ie Rep. of Ireland,,,59.0,44111.0,Granit Xhaka,3-4-3,Carlos del Cerro,Match Report,,14.0,3.0,21.4,0.07,0.33,,0,0,,,,,,,,,,,,,2021,Switzerland
3,2019-09-08,18:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,4,0,gi Gibraltar,,,77.0,8318.0,Granit Xhaka,3-4-3,Pavel Orel,Match Report,,40.0,11.0,27.5,0.1,0.36,,0,0,,,,,,,,,,,,,2021,Switzerland
4,2019-10-12,18:00,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,1,dk Denmark,,,53.0,35964.0,Stephan Lichtsteiner,3-4-3,Aliaksei Kulbakou,Match Report,,11.0,4.0,36.4,0.0,0.0,,0,0,,,,,,,,,,,,,2021,Switzerland
5,2019-10-15,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2,0,ie Rep. of Ireland,,,56.0,24766.0,Stephan Lichtsteiner,3-4-3,Szymon Marciniak,Match Report,,20.0,4.0,20.0,0.05,0.25,,0,1,,,,,,,,,,,,,2021,Switzerland
6,2019-11-15,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,1,0,ge Georgia,,,68.0,16400.0,Stephan Lichtsteiner,5-4-1,Danny Makkelie,Match Report,,23.0,11.0,47.8,0.04,0.09,,0,0,,,,,,,,,,,,,2021,Switzerland
7,2019-11-18,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,W,6,1,gi Gibraltar,,,75.0,2079.0,Granit Xhaka,3-4-3,Benoît Millot,Match Report,,37.0,14.0,37.8,0.16,0.43,,0,0,,,,,,,,,,,,,2021,Switzerland
8,2021-03-31,20:45,Friendlies (M),Friendlies (M),Wed,Home,W,3,2,fi Finland,,,,,Xherdan Shaqiri,3-4-3,Manuel Schüttengruber,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Switzerland
9,2021-05-30,20:15,Friendlies (M),Friendlies (M),Sun,Home,W,2,1,us United States,,,,,Granit Xhaka,3-4-3,Harm Osmers,Match Report,,,,,,,,0,1,,,,,,,,,,,,,2021,Switzerland
10,2021-06-03,18:00,Friendlies (M),Friendlies (M),Thu,Home,W,7,0,li Liechtenstein,,,,,Xherdan Shaqiri,3-4-3,Nejc Kajtazovič,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Switzerland
11,2021-06-12,17:00,UEFA Euro,Group stage,Sat,Neutral,D,1,1,wls Wales,2.1,0.4,64.0,8782.0,Granit Xhaka,3-4-1-2,Clément Turpin,Match Report,,18.0,4.0,22.2,0.06,0.25,15.6,0,0,-1.1,-1.1,35.0,2.0,149.0,30.0,12.0,8.0,66.7,22.0,12.0,4.0,2021,Switzerland
12,2021-06-16,21:00,UEFA Euro,Group stage,Wed,Neutral,L,0,3,it Italy,0.2,2.7,51.0,12445.0,Granit Xhaka,3-4-1-2,Sergey Karasev,Match Report,,6.0,1.0,16.7,0.0,0.0,22.7,0,0,-0.2,-0.2,10.0,0.0,106.0,12.0,14.0,8.0,57.1,16.0,16.0,3.0,2021,Switzerland
13,2021-06-20,20:00,UEFA Euro,Group stage,Sun,Neutral,W,3,1,tr Türkiye,2.1,1.2,51.0,17138.0,Granit Xhaka,3-4-1-2,Slavko Vinčič,Match Report,,23.0,10.0,43.5,0.13,0.3,19.2,0,0,0.9,0.9,44.0,6.0,177.0,43.0,20.0,15.0,75.0,17.0,18.0,12.0,2021,Switzerland
14,2021-06-28,22:00,UEFA Euro,Round of 16,Mon,Neutral,D,3 (5),3 (4),fr France,1.9,3.4,46.0,22642.0,Granit Xhaka,3-4-1-2,Fernando Rapallini,Match Report,Switzerland won on penalty kicks following extra time,11.0,4.0,36.4,0.27,0.75,19.9,0,1,1.1,1.9,23.0,6.0,162.0,27.0,16.0,8.0,50.0,22.0,7.0,5.0,2021,Switzerland
15,2021-07-02,19:00,UEFA Euro,Quarter-finals,Fri,Home,D,1 (1),1 (3),es Spain,0.8,2.9,28.0,24764.0,Xherdan Shaqiri,4-2-3-1,Michael Oliver,Match Report,Spain won on penalty kicks following extra time,8.0,2.0,25.0,0.13,0.5,14.0,0,0,0.2,0.2,15.0,2.0,87.0,15.0,12.0,8.0,66.7,11.0,7.0,2.0,2021,Switzerland
16,2021-09-01,20:45,Friendlies (M),Friendlies (M),Wed,Home,W,2,1,gr Greece,,,,,Ricardo Rodríguez,3-4-3,Antti Munukka,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Switzerland
0,2019-03-26,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,D,3,3,ch Switzerland,,,45.0,18352.0,Simon Kjær,4-2-3-1,Damir Skomina,Match Report,,14.0,7.0,50.0,0.21,0.43,,0,0,,,,,,,,,,,,,2021,Denmark
1,2019-06-07,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,D,1,1,ie Rep. of Ireland,,,62.0,34610.0,Simon Kjær,4-1-3-2,Cüneyt Çakιr,Match Report,,18.0,3.0,16.7,0.06,0.33,,0,0,,,,,,,,,,,,,2021,Denmark
2,2019-06-10,20:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,5,1,ge Georgia,,,69.0,15387.0,Simon Kjær,4-3-1-2,Robert Schörgenhofer,Match Report,,31.0,9.0,29.0,0.13,0.44,,1,1,,,,,,,,,,,,,2021,Denmark
3,2019-09-05,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,6,0,gi Gibraltar,,,78.0,2076.0,Simon Kjær,4-1-4-1,Jonathan Lardot,Match Report,,21.0,10.0,47.6,0.19,0.4,,2,2,,,,,,,,,,,,,2021,Denmark
4,2019-09-08,20:00,UEFA Euro Qualifying,Group stage,Sun,Away,D,0,0,ge Georgia,,,61.0,21456.0,Simon Kjær,4-4-2◆,François Letexier,Match Report,,12.0,6.0,50.0,0.0,0.0,,0,0,,,,,,,,,,,,,2021,Denmark
5,2019-10-12,18:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,1,0,ch Switzerland,,,47.0,35964.0,Simon Kjær,4-2-3-1,Aliaksei Kulbakou,Match Report,,12.0,3.0,25.0,0.08,0.33,,0,0,,,,,,,,,,,,,2021,Denmark
6,2019-11-15,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,6,0,gi Gibraltar,,,80.0,24033.0,Simon Kjær,4-2-3-1,István Vad II,Match Report,,28.0,9.0,32.1,0.21,0.67,,0,0,,,,,,,,,,,,,2021,Denmark
7,2019-11-18,19:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1,1,ie Rep. of Ireland,,,48.0,50000.0,Simon Kjær,4-2-2-2,Felix Brych,Match Report,,3.0,2.0,66.7,0.33,0.5,,0,0,,,,,,,,,,,,,2021,Denmark
8,2021-06-02,21:00,Friendlies (M),Friendlies (M),Wed,Away,D,1,1,de Germany,,,,,Simon Kjær,4-1-4-1,Julian Weinberger,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Denmark
9,2021-06-06,18:00,Friendlies (M),Friendlies (M),Sun,Home,W,2,0,ba Bosnia & Herz'na,,,,,Simon Kjær,4-1-4-1,Petri Viljanen,Match Report,,,,,,,,0,0,,,,,,,,,,,,,2021,Denmark
10,2021-06-12,18:00,UEFA Euro,Group stage,Sat,Neutral,L,0,1,fi Finland,1.8,0.3,69.0,13790.0,Simon Kjær,4-3-3,Anthony Taylor,Match Report,,21.0,5.0,23.8,0.0,0.0,17.6,0,1,-1.8,-1.0,38.0,0.0,273.0,37.0,10.0,3.0,30.0,34.0,25.0,6.0,2021,Denmark
11,2021-06-17,18:00,UEFA Euro,Group stage,Thu,Neutral,L,1,2,be Belgium,1.7,0.9,47.0,23395.0,Simon Kjær,3-4-3,Björn Kuipers,Match Report,,21.0,5.0,23.8,0.05,0.2,17.1,0,0,-0.7,-0.7,39.0,2.0,164.0,32.0,21.0,15.0,71.4,22.0,10.0,8.0,2021,Denmark
12,2021-06-21,21:00,UEFA Euro,Group stage,Mon,Neutral,W,4,1,ru Russia,2.1,1.1,64.0,23644.0,Simon Kjær,3-4-3,Clément Turpin,Match Report,,16.0,10.0,62.5,0.25,0.4,17.1,0,0,1.9,1.9,23.0,5.0,158.0,33.0,25.0,12.0,48.0,25.0,14.0,9.0,2021,Denmark
13,2021-06-26,18:00,UEFA Euro,Round of 16,Sat,Neutral,W,4,0,wls Wales,2.7,0.6,53.0,14645.0,Simon Kjær,3-4-3,Daniel Siebert,Match Report,,16.0,8.0,50.0,0.25,0.5,17.0,0,0,1.3,1.3,27.0,8.0,165.0,38.0,22.0,16.0,72.7,14.0,14.0,6.0,2021,Denmark
14,2021-07-03,20:00,UEFA Euro,Quarter-finals,Sat,Away,W,2,1,cz Czechia,1.5,1.6,45.0,16306.0,Simon Kjær,3-4-3,Björn Kuipers,Match Report,,11.0,6.0,54.5,0.18,0.33,14.8,0,0,0.5,0.5,20.0,3.0,110.0,14.0,12.0,8.0,66.7,15.0,12.0,8.0,2021,Denmark
15,2021-07-07,20:00,UEFA Euro,Semi-finals,Wed,Away,L,1,2,eng England,0.2,2.7,42.0,64950.0,Simon Kjær,3-4-3,Danny Makkelie,Match Report,Required Extra Time,6.0,3.0,50.0,0.17,0.33,25.5,0,0,0.8,0.8,10.0,2.0,135.0,5.0,14.0,5.0,35.7,13.0,11.0,1.0,2021,Denmark
0,2019-03-23,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,L,0,2,it Italy,,,42.0,24000.0,Tim Sparv,5-3-1-1,Orel Grinfeeld,Match Report,,9.0,1.0,11.1,0.0,0.0,,0,0,,,,,,,,,,,,,2021,Finland
1,2019-03-26,21:00,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,am Armenia,,,52.0,12900.0,Tim Sparv,3-3-3-1,Nikola Dabanović,Match Report,,9.0,8.0,88.9,0.22,0.25,,0,0,,,,,,,,,,,,,2021,Finland
2,2019-06-08,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,2,0,ba Bosnia & Herz'na,,,51.0,16103.0,Tim Sparv,4-2-2-2,Daniel Stefański,Match Report,,14.0,7.0,50.0,0.14,0.29,,0,0,,,,,,,,,,,,,2021,Finland
3,2019-06-11,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,2,0,li Liechtenstein,,,80.0,2160.0,Tim Sparv,4-4-2,Jens Maae,Match Report,,24.0,13.0,54.2,0.08,0.15,,0,0,,,,,,,,,,,,,2021,Finland
4,2019-09-05,21:45,UEFA Euro Qualifying,Group stage,Thu,Home,W,1,0,gr Greece,,,45.0,16163.0,Tim Sparv,4-4-2,Juan Martínez,Match Report,,8.0,2.0,25.0,0.0,0.0,,1,1,,,,,,,,,,,,,2021,Finland
5,2019-09-08,21:45,UEFA Euro Qualifying,Group stage,Sun,Home,L,1,2,it Italy,,,40.0,16292.0,Lukáš Hrádecký,5-4-1,Bobby Madden,Match Report,,5.0,1.0,20.0,0.0,0.0,,1,1,,,,,,,,,,,,,2021,Finland
